library_name,toy_name,toy_type,age_group_labels,request_number,damage_description,status,damage_created_on
Ahmedabad HUB,LARGE PRINT 5 MINUTE DINOSAUR STORIES,Toy,3-5 years,RQ72133,part mising,PENDING,2026-06-25T15:39:15.704
Ahmedabad HUB,TOY TRAIN,Toy,0-1 years | 1-3 years,RQ72128,part damage,PENDING,2026-06-25T15:24:12.898
Yogita's Toy Library,Mega Bricks 5 in 1 Cement Mixer Construction Set,Toy,3-5 years | 5-8 years,RQ72116,Damage,PENDING,2026-06-25T14:28:02.057
Hyderabad Hub,NE ELC STAR LINKS,Toy,0-1 years | 1-3 years,RQ72113,Pisces missing,PENDING,2026-06-25T14:26:50.224
Andheri Hub - Mumbai,Planets with Galaxy Board,Toy,3-5 years | 5-8 years,RQ72075,One planet missing,PENDING,2026-06-25T11:12:18.192
Delhi HUB,Mini Bike,Big,1-3 years | 3-5 years,RQ72074,damage,PENDING,2026-06-25T11:09:25.226
Gurgaon Hub,NE ROWAN TRICYCLE BLACK,Big,0-1 years | 1-3 years | 3-5 years,RQ72061,Padle not working,PENDING,2026-06-25T09:47:30.267
Gurgaon Hub,Ramp Race Track Car,Toy,3-5 years | 5-8 years,RQ72060,Car missing,PENDING,2026-06-25T09:46:40.925
Hyderabad Hub,Dancing Pup Star Piano,Toy,0-1 years | 1-3 years,RQ72020,PIECES MISSING,PENDING,2026-06-24T19:17:26.827
Hyderabad Hub,Mechanix plastics planes,Toy,5-8 years | 8-12 years,RQ72016,PIECES MISSING,PENDING,2026-06-24T18:50:06.415
Hyderabad Hub,"Flowers Wooden Round Jigsaw Floor Puzzle, 13 Pcs",Toy,1-3 years | 3-5 years,RQ72015,DAMAGE,PENDING,2026-06-24T18:46:42.013
Hyderabad Hub,Wooden Bread Pop-up Toaster Toy,Toy,1-3 years | 3-5 years,RQ72014,DAMAGE,PENDING,2026-06-24T18:45:51.155
Delhi HUB,Beauty Set Wheel,Toy,3-5 years | 5-8 years,RQ72002,damage,PENDING,2026-06-24T17:09:34.4
Andheri Hub - Mumbai,Woobly Warm,Toy,3-5 years,RQ72001,Missing,PENDING,2026-06-24T16:53:00.63
Delhi HUB,NE KOP DW ROLE ON PLAY SMALL BEAUTY SET,Toy,3-5 years | 5-8 years,RQ72000,damage,PENDING,2026-06-24T16:45:43.472
Delhi HUB,Pull Along Caterpillar,Toy,0-1 years | 1-3 years,RQ71999,damage,PENDING,2026-06-24T16:45:03.575
Andheri Hub - Mumbai,ELC Shape Sorting Bus-Red,Toy,0-1 years | 1-3 years,RQ71998,Parts missing ,PENDING,2026-06-24T16:44:01.307
Dadar Hub,Add 10,Toy,3-5 years | 5-8 years,RQ71997,Parts missing ,PENDING,2026-06-24T16:41:33.787
Delhi HUB,PLANET OF LOST DINOSAURS - GLOW IN THE DARK,Toy,3-5 years | 5-8 years,RQ71996,missing,PENDING,2026-06-24T16:41:19.232
Andheri Hub - Mumbai,Triple Cross,Toy,5-8 years | 8-12 years,RQ71995,Damage,PENDING,2026-06-24T16:40:29.799
Delhi HUB,Mind Challenge,Toy,5-8 years | 8-12 years,RQ71994,damage,PENDING,2026-06-24T16:40:10.335
Delhi HUB,Doctor Set Wheel Premium,Toy,3-5 years | 5-8 years,RQ71993,damage,PENDING,2026-06-24T16:38:44.583
Delhi HUB,Funny Money - Cashier,Toy,3-5 years | 5-8 years,RQ71992,broken,PENDING,2026-06-24T16:38:18.492
Hyderabad Hub,100 Flaps To Learn School,Books,3-5 years,RQ71989,Damege,PENDING,2026-06-24T16:04:38.113
Chennai Hub,Wooden Ice Cream Magnetic Toy Set,Toy,1-3 years | 3-5 years,RQ71959,damage,PENDING,2026-06-24T13:36:14.092
Suman Jain,PEPPLAY DOUGH ART KIT - NATURE,Toy,3-5 years | 5-8 years,RQ71958,Condition issue ,PENDING,2026-06-24T13:34:43.132
Gurgaon Hub,Super Track Racer - [2058],Toy,0-1 years | 1-3 years,RQ71955,"Track missing
Car damage ",PENDING,2026-06-24T13:04:46.973
Andheri Hub - Mumbai,Memory Match: Where Things Belong,Toy,3-5 years | 5-8 years,RQ71952,Parts missing ,PENDING,2026-06-24T10:09:33.619
Bangalore - Varthur Hub,Kitchen Play Set | Beech Wood Cooking Set (9 Pcs),Toy,1-3 years | 3-5 years,RQ71951,d,PENDING,2026-06-24T10:05:18.556
Andheri Hub - Mumbai,Jumping Melodies Keyboard,Toy,0-1 years | 1-3 years,RQ71950,Damage ,PENDING,2026-06-24T10:01:52.649
the EleFant Play Arena - Noida,Table Top Foosball Small,Big,3-5 years | 5-8 years | 8-12 years,RQ71894,recieved only foosball ,PENDING,2026-06-23T13:53:02.781
Delhi HUB,NE KOP DW ROLE ON PLAY SMALL  DOCTOR SET,Toy,3-5 years | 5-8 years,RQ71893,damage,PENDING,2026-06-23T13:51:57.95
Delhi HUB,Excavator truck set 9960,Toy,1-3 years | 3-5 years,RQ71892,damage,PENDING,2026-06-23T13:47:47.646
Delhi HUB,Musical Snail,Toy,0-1 years | 1-3 years,RQ71891,missing ,PENDING,2026-06-23T13:47:02.952
Delhi HUB,Super Bike,Big,3-5 years | 5-8 years,RQ71888,damage movement ,PENDING,2026-06-23T13:34:21.803
Delhi HUB,Magnetic Birds and Flowers,Toy,1-3 years | 3-5 years,RQ71886,missing,PENDING,2026-06-23T13:30:34.573
Delhi HUB,TOYZONE NE RESCUE SQUADLIFT,Toy,3-5 years | 5-8 years,RQ71885,damage,PENDING,2026-06-23T13:27:23.845
Yogita's Toy Library,NE SS OP BANG BANG,Toy,0-1 years | 1-3 years,RQ71866,Full damage ,PENDING,2026-06-23T11:03:19.424
Yogita's Toy Library,Floating Bath Buddies,Toy,0-1 years | 1-3 years,RQ71865,Pieces missing ,PENDING,2026-06-23T11:02:41.859
Yogita's Toy Library,Town House Set-1,Toy,3-5 years | 5-8 years,RQ71863,Pieces missing base missing ,PENDING,2026-06-23T11:00:37.393
the EleFant Play Arena - Noida,Sports Car,Big,1-3 years | 3-5 years | 5-8 years,RQ71860,handle damage,PENDING,2026-06-23T10:36:29.627
the EleFant Play Arena - Noida,Sports Car,Big,1-3 years | 3-5 years | 5-8 years,RQ71859,handle damage,PENDING,2026-06-23T10:35:59.216
Andheri Hub - Mumbai,Puppy Sit On,Toy,0-1 years | 1-3 years,RQ71853,Part missing ,PENDING,2026-06-23T09:42:54.494
Andheri Hub - Mumbai,Basket ring toss 2in1,Toy,5-8 years | 8-12 years,RQ71800,Parts missing ,PENDING,2026-06-22T18:41:17.652
Chennai Hub,Betty the Butterfly (Musical),Toy,1-3 years,RQ71799," 2 Push Rod
1 Connector",PENDING,2026-06-22T18:39:51.9
Chennai Hub,Premium Wooden Little Dentist Pro Kit,Toy,3-5 years | 5-8 years,RQ71798,damage,PENDING,2026-06-22T18:38:35.421
Ahmedabad HUB,Pure Veg Kitchen Set,Toy,1-3 years | 3-5 years,RQ71787,PART MISING ,PENDING,2026-06-22T16:44:57.256
Hyderabad Hub,Magbox - Magnetic Toy - 50 pieces,Toy,3-5 years | 5-8 years,RQ71782,Pieces missing,PENDING,2026-06-22T16:27:02.88
Hyderabad Hub,Stacking Animal,Toy,1-3 years | 3-5 years,RQ71780,Quality issue (used parmanent sketches),PENDING,2026-06-22T15:53:08.528
Hyderabad Hub,Traffic Hour,Toy,5-8 years | 8-12 years,RQ71779,Pieces missing,PENDING,2026-06-22T15:51:19.78
Suman Jain,Magbox - Magnetic Toy - 50 pieces,Toy,3-5 years | 5-8 years,RQ71773,Piece missing ,PENDING,2026-06-22T15:17:03.224
Suman Jain,RAINFOREST HEART OF EARTH - GLOW IN THE DARK,Toy,3-5 years | 5-8 years,RQ71772,Piece missing ,PENDING,2026-06-22T15:14:26.653
Suman Jain,Small Alphabet LC Magnetic,Toy,1-3 years | 3-5 years,RQ71771,Piece missing ,PENDING,2026-06-22T15:13:13.14
Andheri Hub - Mumbai,Excavator truck set 9960,Toy,1-3 years | 3-5 years,RQ71770,Parts missing ,PENDING,2026-06-22T15:07:26.908
Gurgaon Hub,Crane truck set 9959,Toy,1-3 years | 3-5 years,RQ71753,Damage vheel ,PENDING,2026-06-22T12:56:57.493
Delhi HUB,Stacking Pots,Toy,0-1 years | 1-3 years,RQ71752,damage,PENDING,2026-06-22T12:50:47.287
Delhi HUB,Magplay LED Roundels,Toy,3-5 years | 5-8 years,RQ71751,damage,PENDING,2026-06-22T12:50:05.773
Andheri Hub - Mumbai,Ramp Race Track Car,Toy,3-5 years | 5-8 years,RQ71748,Cars missing,PENDING,2026-06-22T12:37:24.096
Bangalore - Varthur Hub,NE 54PCS MAGNET TILES SET,Toy,3-5 years | 5-8 years,RQ71741,D,PENDING,2026-06-22T10:34:05.435
Bangalore - Varthur Hub,The Mini City,Toy,1-3 years | 3-5 years,RQ71740,D,PENDING,2026-06-22T10:32:50.093
Bangalore - Varthur Hub,Memory Skills,Toy,3-5 years | 5-8 years,RQ71739,D,PENDING,2026-06-22T10:32:33.084
Andheri Hub - Mumbai,Ramp Race Track Car,Toy,3-5 years | 5-8 years,RQ71736,Dmage,PENDING,2026-06-22T10:21:40.073
Bangalore - Varthur Hub,A Swim in the Ocean,Books,5-8 years | 8-12 years,RQ71735,D,PENDING,2026-06-22T09:45:18.603
Andheri Hub - Mumbai,MUSICAL BUS,Toy,0-1 years | 1-3 years,RQ71734,Music is not playing ,PENDING,2026-06-22T09:45:16.882
Bangalore - Varthur Hub,Excavator truck set 9960,Toy,1-3 years | 3-5 years,RQ71733,D,PENDING,2026-06-22T09:44:55.148
Bangalore - Varthur Hub,Shifu Plugo - Letters,Toy,3-5 years | 5-8 years,RQ71732,D,PENDING,2026-06-22T09:44:43.855
Bangalore - Varthur Hub,2 in 1 Magnetic Fishing,Toy,1-3 years | 3-5 years,RQ71730,D,PENDING,2026-06-22T09:40:24.065
Bangalore - Varthur Hub,SMARTPHONE,Toy,0-1 years | 1-3 years,RQ71729,D,PENDING,2026-06-22T09:40:15.129
Bangalore - Varthur Hub,NE SS OP BANG BANG,Toy,0-1 years | 1-3 years,RQ71727,D,PENDING,2026-06-22T09:34:27.729
Bangalore - Varthur Hub,And to Think it All Started With One,Books,3-5 years,RQ71726,D,PENDING,2026-06-22T09:34:07.681
Bangalore - Varthur Hub,Meri Pehli Pustak Ka Kha Ga (Hindi) (Padded Board Book),Books,3-5 years,RQ71725,D,PENDING,2026-06-22T09:33:54.521
Bangalore - Varthur Hub,Trap Game - [4264],Toy,5-8 years | 8-12 years,RQ71724,D,PENDING,2026-06-22T09:33:10.426
Bangalore - Varthur Hub,Crossword Upwards,Toy,3-5 years | 5-8 years,RQ71723,D,PENDING,2026-06-22T09:31:47.338
Bangalore - Varthur Hub,Premium Wooden Junior Physician Set,Toy,3-5 years | 5-8 years,RQ71722,DA,PENDING,2026-06-22T09:31:31.893
Pune Hub,Magbox - Magnetic Toy - 50 pieces,Toy,3-5 years | 5-8 years,RQ71662,Pic missing ,PENDING,2026-06-21T15:36:27.084
Hyderabad Hub,Zigyasaw Jungle Kingdom premium Giant floor puzzle game,Toy,3-5 years | 5-8 years,RQ71642,Call iti hesshu,PENDING,2026-06-21T12:24:09.29
Hyderabad Hub,Sandwiches,Toy,1-3 years | 3-5 years,RQ71640,Pisces missing,PENDING,2026-06-21T12:20:07.479
Andheri Hub - Mumbai,3 IN 1 Deluxe Playgym-9949300,Toy,0-1 years | 1-3 years,RQ71633,Missing parts ,PENDING,2026-06-21T11:56:43.885
Andheri Hub - Mumbai,Orboot Earth,Toy,5-8 years | 8-12 years,RQ71632,Product missing ,PENDING,2026-06-21T11:54:36.99
Suman Jain,Bear Melody Crib Mobile,Toy,0-1 years | 1-3 years,RQ71566,not working ,PENDING,2026-06-20T19:18:22.279
Nagpur Hub,Premium Quality Wooden Dressing Table CnC,Big,1-3 years | 3-5 years | 5-8 years,RQ71551,"All dressing table 
Damage 
Meckup kits missing ",PENDING,2026-06-20T16:44:54.572
Nagpur Hub,Betty the Butterfly (Musical),Toy,1-3 years,RQ71550,Damage fly,PENDING,2026-06-20T16:40:57.755
Gurgaon Hub,Shape Sorter Geometric,Toy,1-3 years | 3-5 years,RQ71542,pieces missing,PENDING,2026-06-20T15:47:57.515
Gurgaon Hub,My Little Buggy,Toy,0-1 years | 1-3 years,RQ71541,Damage,PENDING,2026-06-20T15:47:30.679
Andheri Hub - Mumbai,Kitchen Set Wheel,Toy,3-5 years | 5-8 years,RQ71535,Parts missing ,PENDING,2026-06-20T15:03:12.985
Hyderabad Hub,Farmyard Heads and Tails,Toy,1-3 years | 3-5 years,RQ71534,pieces missing,PENDING,2026-06-20T15:02:18.406
Andheri Hub - Mumbai,ENCHANTED WORLD OF UNICORN,Toy,1-3 years | 3-5 years,RQ71533,Missing ,PENDING,2026-06-20T15:01:05.095
Hyderabad Hub,Wooden 4 Level Sliding Car Track Toy,Toy,3-5 years | 5-8 years,RQ71532,damage,PENDING,2026-06-20T15:00:26.67
Andheri Hub - Mumbai,Magnetic Block 38,Toy,3-5 years | 5-8 years,RQ71527,Missing ,PENDING,2026-06-20T14:47:54.049
Hyderabad Hub,Bus Stop,Toy,3-5 years | 5-8 years,RQ71526,Timer and bus stop pieces missing,PENDING,2026-06-20T14:35:31.356
Delhi HUB,Kitchen Play Set | Beech Wood Cooking Set (9 Pcs),Toy,1-3 years | 3-5 years,RQ71523,damage,PENDING,2026-06-20T14:00:37.649
Delhi HUB,Basket ring toss 2in1,Toy,5-8 years | 8-12 years,RQ71522,basket damage,PENDING,2026-06-20T14:00:04.956
Delhi HUB,Premium Wooden Junior Doctor Set,Toy,3-5 years | 5-8 years,RQ71520,missing,PENDING,2026-06-20T13:59:14.973
Delhi HUB,Planets with Galaxy Board,Toy,3-5 years | 5-8 years,RQ71518,missing planets,PENDING,2026-06-20T13:48:24.116
Delhi HUB,Premium Quality Wooden Dressing Table CnC,Big,1-3 years | 3-5 years | 5-8 years,RQ71517,damage,PENDING,2026-06-20T13:47:56.323
Delhi HUB,Doodle Placemats Set – FIND & COLOR Series,Toy,3-5 years | 5-8 years,RQ71516,damage,PENDING,2026-06-20T13:47:37.741
Delhi HUB,Premium Quality Wooden Dressing Table CnC,Big,1-3 years | 3-5 years | 5-8 years,RQ71510,damage,PENDING,2026-06-20T13:28:13.687
Gurgaon Hub,Wooden Cloud Shape Pop Up Toy,Toy,3-5 years | 5-8 years,RQ71508,Pieces Missing,PENDING,2026-06-20T13:14:16.575
Hyderabad Hub,Magnetic Birds and Flowers,Toy,1-3 years | 3-5 years,RQ71502,Stand missing,PENDING,2026-06-20T12:50:48.046
Hyderabad Hub,Topple,Toy,5-8 years | 8-12 years,RQ71498,Stand missing,PENDING,2026-06-20T12:41:36.532
Andheri Hub - Mumbai,NE SCOOTER G,Big,1-3 years | 3-5 years | 5-8 years,RQ71484,Damage ,PENDING,2026-06-20T10:37:26.944
Suman Jain,Kitchen Play Set | Beech Wood Cooking Set (9 Pcs),Toy,1-3 years | 3-5 years,RQ71414,spoon missing ,PENDING,2026-06-19T18:54:55.852
Suman Jain,Dirt tracker,Big,3-5 years | 5-8 years | 8-12 years,RQ71412,Inventory issue ,PENDING,2026-06-19T18:15:56.476
Suman Jain,Dirt tracker,Big,3-5 years | 5-8 years | 8-12 years,RQ71411,Inventory issue ,PENDING,2026-06-19T18:13:46.361
Andheri Hub - Mumbai,Jumbo Activity Triangle,Big,1-3 years | 3-5 years,RQ71392,Broken,PENDING,2026-06-19T15:33:44.03
Ahmedabad HUB,TOY TRAIN,Toy,0-1 years | 1-3 years,RQ71390,one item mising,PENDING,2026-06-19T15:27:39.338
Hyderabad Hub,Wooden 4 Level Sliding Car Track Toy,Toy,3-5 years | 5-8 years,RQ71388,damage,PENDING,2026-06-19T15:25:28.285
Pune Hub,PepPlay MY FIRST TOUCH & FEEL PUZZLES - WILD ANIMALS,Toy,0-1 years | 1-3 years,RQ71382,3pic missing ,PENDING,2026-06-19T14:38:03.256
Hyderabad Hub,NE ELC  BUILD AND PLAY CAR,Toy,1-3 years | 3-5 years,RQ71381,damage,PENDING,2026-06-19T14:33:33.047
Hyderabad Hub,Pyramid Blocks - [1706],Toy,3-5 years | 5-8 years,RQ71380,pieces  missing,PENDING,2026-06-19T14:32:40.267
Hyderabad Hub,Hopscotch mat Twister,Toy,5-8 years | 8-12 years,RQ71378,quality issue,PENDING,2026-06-19T14:29:14.289
Hyderabad Hub,Premium Wooden Junior Doctor Set,Toy,3-5 years | 5-8 years,RQ71377,pieces missing and quality issue,PENDING,2026-06-19T14:28:37.329
Hyderabad Hub,First Magnetic Puzzles Activity Box : Dinosaurs,Toy,1-3 years | 3-5 years,RQ71376,pieces missing,PENDING,2026-06-19T14:27:41.797
Yogita's Toy Library,Orboot Earth,Toy,5-8 years | 8-12 years,RQ71370,Damaged ,PENDING,2026-06-19T13:23:26.467
Pune Hub,Hop Scotch Play Mat,Toy,3-5 years | 5-8 years,RQ71363,Mat damaged ,PENDING,2026-06-19T12:37:41.459
Madhvi Jay Gajjar,"Life Cycle Puzzles | Coloring Activity (36 Pcs)- Frog, Plant, Chicken & Butterfly",Toy,1-3 years | 3-5 years,RQ71360,Missing and dirty ,PENDING,2026-06-19T12:15:27.27
Madhvi Jay Gajjar,Jumping Melodies Keyboard,Toy,0-1 years | 1-3 years,RQ71359,After new Battery replacement still not working,PENDING,2026-06-19T12:00:24.683
Madhvi Jay Gajjar,Hungry Hungry Hippos,Toy,5-8 years | 8-12 years,RQ71357,Demage object and no balls return.,PENDING,2026-06-19T11:42:11.015
Yogita's Toy Library,NE KOP TOOL SET TROLLEY,Toy,3-5 years | 5-8 years,RQ71356,Damage,PENDING,2026-06-19T11:42:03.4
Yogita's Toy Library,Eggs and Spoon,Toy,3-5 years | 5-8 years,RQ71355,Damage,PENDING,2026-06-19T11:41:28.544
Yogita's Toy Library,Healthy Eating,Toy,1-3 years | 3-5 years,RQ71354,Damage,PENDING,2026-06-19T11:40:55.321
Madhvi Jay Gajjar,SMILEY GAMES,Toy,5-8 years | 8-12 years,RQ71351,Dice not received ,PENDING,2026-06-19T11:32:16.697
Madhvi Jay Gajjar,To The Top,Toy,5-8 years,RQ71347,Tray stars and cards missing ,PENDING,2026-06-19T11:07:46.584
Madhvi Jay Gajjar,Monopoly Fs (India Edition),Toy,5-8 years | 8-12 years,RQ71346,Water damaged ,PENDING,2026-06-19T11:03:04.203
Madhvi Jay Gajjar,Down the Devil Moz Table Top Game,Toy,3-5 years | 5-8 years,RQ71344,Less piece ,PENDING,2026-06-19T11:01:00.501
Suman Jain,Disney Picture Dictionary,Books,1-3 years | 3-5 years,RQ71292,Condition issue ,PENDING,2026-06-18T19:52:38.352
Suman Jain,Learning Musical Playmat - Alphabet,Toy,3-5 years | 5-8 years,RQ71291,Not working ,PENDING,2026-06-18T19:51:47.53
Suman Jain,PEPPLAY MY FIRST TOUCH & FEEL PUZZLES - VEHICLES,Toy,0-1 years | 1-3 years,RQ71288,pcs missing ,PENDING,2026-06-18T19:38:13.634
Suman Jain,3D Shape Sorter Vegetables,Toy,0-1 years | 1-3 years,RQ71269,1 piece missing ,PENDING,2026-06-18T17:26:06.185
Suman Jain,3 IN 1 Deluxe Playgym-9949300,Toy,0-1 years | 1-3 years,RQ71268,3 hanging toys are missing ,PENDING,2026-06-18T17:20:53.048
Hyderabad Hub,Picture Shadow Matching,Toy,1-3 years,RQ71262,Pieces missing,PENDING,2026-06-18T16:50:21.771
Hyderabad Hub,Sakara 66 DIY Dark,Toy,3-5 years | 5-8 years,RQ71259,Pieces missing,PENDING,2026-06-18T16:35:05.054
Hyderabad Hub,0-to-9 Knob and Peg Wooden Puzzle,Toy,0-1 years | 1-3 years,RQ71256,Numbers missing,PENDING,2026-06-18T16:32:01.572
Hyderabad Hub,Doodle Placemats Set – FIND & COLOR Series,Toy,3-5 years | 5-8 years,RQ71255,Sketches missing,PENDING,2026-06-18T16:31:11.377
Hyderabad Hub,Five-Minute Stories for 3 Year Olds,Books,1-3 years | 3-5 years,RQ71254,DAMAGE,PENDING,2026-06-18T16:29:28.341
Hyderabad Hub,Mapology- States with Capital,Toy,3-5 years | 5-8 years,RQ71253,PIECES MISSING,PENDING,2026-06-18T16:28:18.451
Gurgaon Hub,Magplay LED Roundels,Toy,3-5 years | 5-8 years,RQ71249,Piece missing,PENDING,2026-06-18T16:03:14.762
Gurgaon Hub,Fun Fair game,Toy,5-8 years | 8-12 years,RQ71248,Boll and glasses missing,PENDING,2026-06-18T16:02:46.74
Gurgaon Hub,MVL 6 INCH BASIC FIGURE 3PK,Toy,3-5 years | 5-8 years,RQ71247,Piece missing,PENDING,2026-06-18T16:02:14.379
Andheri Hub - Mumbai,Abalone,Toy,5-8 years | 8-12 years,RQ71245,Missing marble ,PENDING,2026-06-18T15:52:04.22
Andheri Hub - Mumbai,Super Drifter,Big,3-5 years | 5-8 years | 8-12 years,RQ71237,Damage ,PENDING,2026-06-18T15:16:58.172
Chennai Hub,Sports Car,Big,1-3 years | 3-5 years | 5-8 years,RQ71216,steering missing,PENDING,2026-06-18T13:04:19.712
Madhvi Jay Gajjar,Picture Palette,Toy,1-3 years | 3-5 years,RQ71206,2 coin and 5 card missing ,PENDING,2026-06-18T11:50:26.085
Madhvi Jay Gajjar,Comb and Shine,Toy,1-3 years | 3-5 years,RQ71205,3 pic damaged out of 6,PENDING,2026-06-18T11:44:55.488
Madhvi Jay Gajjar,SOUND BOOK NURSERY RHYMES,Books,1-3 years | 3-5 years,RQ71203,Damaged binding ,PENDING,2026-06-18T11:42:56.821
Madhvi Jay Gajjar,First Magnetic Puzzles Activity Box : Aquatic Animals,Toy,1-3 years | 3-5 years,RQ71202,Less pics and damaged ,PENDING,2026-06-18T11:36:54.858
Madhvi Jay Gajjar,Brick Breaker,Toy,5-8 years | 8-12 years,RQ71198,Total damaged and dirty,PENDING,2026-06-18T11:16:56.691
Madhvi Jay Gajjar,Colour Trap,Toy,3-5 years | 5-8 years,RQ71197,4 pic missing ,PENDING,2026-06-18T11:10:38.96
Andheri Hub - Mumbai,Magbox - Magnetic Toy - 50 pieces,Toy,3-5 years | 5-8 years,RQ71196,Damage,PENDING,2026-06-18T11:03:33.278
Andheri Hub - Mumbai,NE SS OP MY PET ELEPHANT,Toy,0-1 years | 1-3 years,RQ71191,Part missing ,PENDING,2026-06-18T10:41:12.333
Andheri Hub - Mumbai,Number & Color Wooden Puzzle,Toy,1-3 years | 3-5 years,RQ71185,No board,PENDING,2026-06-18T09:32:16.649
the EleFant Play Arena - Noida,NE SS OP BANG BANG,Toy,0-1 years | 1-3 years,RQ71173,"full damage
",PENDING,2026-06-18T06:30:26.2
the EleFant Play Arena - Noida,Ambulance,Big,1-3 years | 3-5 years,RQ71172,incomplete,PENDING,2026-06-18T06:25:34.543
Yogita's Toy Library,Basket ring toss 2in1,Toy,5-8 years | 8-12 years,RQ71143,Missing ,PENDING,2026-06-17T19:18:56.003
Pandu Boreda,Tool Box,Toy,3-5 years | 5-8 years,RQ71138,pieces missing,PENDING,2026-06-17T19:07:44.224
Delhi HUB,Alphatub,Big,1-3 years | 3-5 years,RQ71137,missing,PENDING,2026-06-17T19:04:11.844
Hyderabad Hub,Baby Music Center,Big,0-1 years | 1-3 years | 3-5 years,RQ71136,music cards missing,PENDING,2026-06-17T19:04:09.162
Bangalore - Varthur Hub,2 IN 1 JUNGLE SAFARI,Toy,3-5 years | 5-8 years,RQ71128,DAMAGE,PENDING,2026-06-17T18:44:43.831
Hyderabad Hub,Super Bike,Big,3-5 years | 5-8 years,RQ71126,Accelerator wire damage and bolt missing,PENDING,2026-06-17T18:38:57.52
Hyderabad Hub,3D Shape Sorter Fruits,Toy,0-1 years | 1-3 years,RQ71114,tree piece missing,PENDING,2026-06-17T17:56:25.464
Yogita's Toy Library,Wooden Fruit Lacing & Threading Set,Toy,0-1 years | 1-3 years,RQ71113,Missing ,PENDING,2026-06-17T17:52:45.976
Hyderabad Hub,Layer of The Ocean Puzzle,Toy,3-5 years | 5-8 years,RQ71112,damage,PENDING,2026-06-17T17:52:16.303
Hyderabad Hub,Football game,Big,5-8 years | 8-12 years,RQ71111,balls  missing and damage,PENDING,2026-06-17T17:51:51.035
Hyderabad Hub,Air Carrom Big,Big,3-5 years | 5-8 years | 8-12 years,RQ71110,coins missing,PENDING,2026-06-17T17:50:52.002
Hyderabad Hub,2 in 1 Magnetic Fishing,Toy,1-3 years | 3-5 years,RQ71109,pieces missing,PENDING,2026-06-17T17:50:10.364
Hyderabad Hub,PEPPLAY DOUGH ART KIT - NATURE,Toy,3-5 years | 5-8 years,RQ71108,quality issue,PENDING,2026-06-17T17:48:26.571
Suman Jain,Portable Football Goal Post Net,Big,3-5 years | 5-8 years | 8-12 years,RQ71105,"Damage stick missing 
",PENDING,2026-06-17T17:41:52.057
Pune Hub,Dreamy Scooter,Big,1-3 years | 3-5 years | 5-8 years,RQ71101,Charger not received ,PENDING,2026-06-17T17:27:30.001
Suman Jain,NE RATTLING CEMENT MIXTURE,Toy,3-5 years | 5-8 years,RQ71099,roller missing ,PENDING,2026-06-17T17:25:01.279
Pune Hub,Space Jam 2 in 1 Piano Playmat,Big,1-3 years | 3-5 years | 5-8 years,RQ71096,Stick missing ,PENDING,2026-06-17T17:22:35
Suman Jain,Rubbablox Bulding Blocks,Toy,0-1 years | 1-3 years,RQ71095,pcs missing ,PENDING,2026-06-17T17:17:44.56
Bangalore - Varthur Hub,Jungle Animal Maze for Toddlers,Toy,1-3 years | 3-5 years,RQ71091,FD,PENDING,2026-06-17T16:58:47.902
Bangalore - Varthur Hub,Learning Pyramid with Interactive Play,Toy,0-1 years | 1-3 years,RQ71089,D,PENDING,2026-06-17T16:57:43.236
Bangalore - Varthur Hub,Ramayan- The Great Indian Epic Activity Mat,Toy,5-8 years | 8-12 years,RQ71088,D,PENDING,2026-06-17T16:57:25.695
Bangalore - Varthur Hub,WHAT AM I,Toy,3-5 years | 5-8 years,RQ71087,D,PENDING,2026-06-17T16:57:05.839
Bangalore - Varthur Hub,Number Perfect,Toy,3-5 years | 5-8 years,RQ71086,D,PENDING,2026-06-17T16:56:26.64
Bangalore - Varthur Hub,CONNECT 4,Toy,5-8 years | 8-12 years,RQ71084,D,PENDING,2026-06-17T16:55:26.791
Bangalore - Varthur Hub,Big Kitchen Set Trolley,Toy,3-5 years | 5-8 years,RQ71083,S,PENDING,2026-06-17T16:55:15.547
Bangalore - Varthur Hub,2 In 1 Baby Walker Toy & Activity Piano,Big,0-1 years | 1-3 years,RQ71082,DA,PENDING,2026-06-17T16:54:56.105
Bangalore - Varthur Hub,Wooden Ice Cream Magnetic Toy Set,Toy,1-3 years | 3-5 years,RQ71081,DA,PENDING,2026-06-17T16:54:35.8
Bangalore - Varthur Hub,Mini Abacus,Toy,1-3 years | 3-5 years,RQ71080,DA,PENDING,2026-06-17T16:49:13.492
Bangalore - Varthur Hub,My Learning World Shapes Starfish,Books,1-3 years,RQ71079,DA,PENDING,2026-06-17T16:48:58.497
Bangalore - Varthur Hub,Baby Spiral Fun-5,Toy,0-1 years | 1-3 years,RQ71078,DA,PENDING,2026-06-17T16:48:39.826
Bangalore - Varthur Hub,E Jr Megasaur Touch & Talk Dino,Toy,1-3 years,RQ71077,D,PENDING,2026-06-17T16:48:12.366
Bangalore - Varthur Hub,Giant Blocks (50) Pcs - [1732],Toy,3-5 years | 5-8 years,RQ71076,DA,PENDING,2026-06-17T16:46:07.738
Bangalore - Varthur Hub,Giant Blocks (50) Pcs - [1732],Toy,3-5 years | 5-8 years,RQ71075,D,PENDING,2026-06-17T16:45:58.273
Bangalore - Varthur Hub,Touch & Feel 123,Books,0-1 years | 1-3 years,RQ71074,DA,PENDING,2026-06-17T16:45:41.189
